ambil air,ma ar
ambil handuk ini,ma handuk iwa
ambil handuk itu,ma handuk ira
ambil helm ini,ma helem iwa
ambil helm itu,ma helem ira
ambil kayu ini,ma kai iwa
ambil kayu itu,ma kai ira
ambil kertas ini,ma kartas iwa
ambil kertas itu,ma kartas ira
ambil kiriman  ini,ma fingkatu iwa
ambil kiriman  itu,ma fingkatu ira
ambil kue ini,ma kukis iwa
ambil kue itu,ma kukis ira
ambil linggis ini,ma suan  iwa
ambil linggis itu,ma suan  ira
ambil mangkuk ini,ma basi kua iwa
ambil mangkuk itu,ma basi kua ira
ambil obat  ini,ma mofun iwa
ambil obat  itu,ma mofun ira
ambil pakaian  ini,ma ladan iwa
ambil pakaian  itu,ma ladan ira
ambil paku ini,ma paku iwa
ambil paku itu,ma paku ira
ambil palu ini,ma resan iwa
ambil palu itu,ma resan ira
ambil panci ini,ma panci iwa
ambil panci itu,ma panci ira
ambil parang ini,ma peda iwa
ambil parang itu,ma peda ira
ambil pena ini,ma kalam iwa
ambil pena itu,ma kalam ira
ambil piring  ini,ma bingan iwa
ambil piring  itu,ma bingan ira
ambil pisau ini,ma turit iwa
ambil pisau itu,ma turit ira
ambil sekop ini,ma skop iwa
ambil sekop itu,ma skop ira
ambil sendal ini,ma sandal iwa
ambil sendal itu,ma sandal ira
ambil sendok ini,ma sisiru iwa
ambil sendok itu,ma sisiru ira
ambil sepatu  ini,ma sapatu iwa
ambil sepatu  itu,ma sapatu ira
ambil sisir ini,ma sisir iwa
ambil sisir itu,ma sisir ira
ambil surat ini,ma surat iwa
ambil surat itu,ma surat ira
ambil tas ini,ma tas iwa
ambil tas itu,ma tas ira
ambil tisu ini,ma tisu iwa
ambil tisu itu,ma tisu ira
ambil wajan ini,ma kalin iwa
ambil wajan itu,ma kalin ira
ayah belajar aljabar,baba na balajar aljabar
ayah belajar bahasa,baba na balajar minak 
ayah belajar beradaptasi,baba na balajar nai bisa ku mian nai tompat woun
ayah belajar berbagi,baba na balajar ku figuan
ayah belajar berempati,baba na balajar nai ku fituin mancian woun
ayah belajar berenang,baba na balajar ngangu
ayah belajar berjalan,baba na balajar ku tagi
ayah belajar berkerja,baba na balajar karja
ayah belajar berkomunikasi,baba na balajar sinabi ra 
ayah belajar berlari,baba na balajar ku falaru
ayah belajar bermain ,baba na balajar lenga
ayah belajar berpikir,baba na balajar ku fikir
ayah belajar bersabar,baba na balajar sabar a
ayah belajar bersyukur,baba na balajar syukur 
ayah belajar biologi,baba na balajar ilmu alam
ayah belajar catur ,baba na balajar catur
ayah belajar displin,baba na balajar ku lenga tu waktu ra tei
ayah belajar fisika,baba na balajar fisika
ayah belajar komputer,baba na balajar komputer 
ayah belajar mancing,baba na belajar subelat
ayah belajar matematika ,baba na balajar berhitung 
ayah belajar memaafkan,baba na balajar ta gafin
ayah belajar memanah,baba na balajar fana-fanak a
ayah belajar memasak,baba na balajar firakan
ayah belajar membaca,baba na balajar baca
ayah belajar menari,baba na balajar sula
ayah belajar mengaji,baba na balajar sibur
ayah belajar menggambar,baba na balajar garis-garis 
ayah belajar menghitung,baba na balajar firekin
ayah belajar menjahit,baba na balajar firait
ayah belajar menulis,baba na balajar tulis
ayah belajar menyanyi,baba na balajar manyanyi
ayah belajar olahraga ,baba na balajar olahraga 
ayah belajar shalat,baba na balajar sumbiyang
ayah belum bangun,baba bot na wotu tei
ayah belum belajar,baba bot na balajar tei
ayah belum berhasil,baba bot na na roka mana gafin tei
ayah belum makan,baba bot na ka tei
ayah belum mandi,baba bot na sou tei
ayah belum melihatmu,baba bot na kilangar kau tei
ayah belum melihatnya,baba bot na kilangar i tei
ayah belum memulai,baba bot na mulai tei
ayah belum mencintaimu,baba bot na fituin kau tei
ayah belum mencintainya,baba bot na fituin i tei
ayah belum mendengarnya,baba bot na rongar i tei
ayah belum menemukanmu,baba bot na roka kau tei
ayah belum menemukannya,baba bot na roka i tei
ayah belum menerimamu,baba bot na tarima kau tei
ayah belum menerimanya,baba bot na tarima i tei
ayah belum mengajar,baba bot na fakuturu tei
ayah belum menikah,baba bot na fisa tei
ayah belum menyerah,baba bot na na suka tei
ayah belum menyesal,baba bot na laminora masingat tei
ayah belum merindukanmu,baba bot na marasai kau tei
ayah belum merindukannya,baba bot na marasai i tei
ayah belum minum,baba bot na kinu tei
ayah belum rela,baba bot na iklas tei
ayah belum tahu,baba bot na ruk tei
ayah belum terima,baba bot na tarima tei
ayah belum tidur,baba bot na kifit tei
ayah gemar belajar,baba na suka balajar
ayah gemar berenang,baba na suka ngangu
ayah gemar bermain,baba na suka lenga
ayah gemar makan,baba na suka fanga
ayah gemar mandi,baba na suka sou
ayah gemar menyanyi,baba na suka manyanyi
ayah gemar minum,baba na suka minu
ayah gemar pergi,baba na suka tagi
ayah ingin belajar,baba na mau balajar
ayah ingin berlari,baba na mau falaru
ayah ingin berteriak,baba na mau gurait
ayah ingin cinta,baba na mau fituin
ayah ingin hidup,baba na mau na liu
ayah ingin lari,baba na mau falaru
ayah ingin makan,baba na mau fanga
ayah ingin mandi,baba na mau sou
ayah ingin marah,baba na mau sia
ayah ingin mati,baba na mau mata
ayah ingin melihat,baba na mau kilangar
ayah ingin membaca,baba na mau baca
ayah ingin menangis,baba na mau tangis
ayah ingin mendengar,baba na mau rongar
ayah ingin mengajar,baba na mau fakturu
ayah ingin menulis,baba na mau tulis
ayah ingin minum,baba na mau minu
ayah ingin muntah,baba na mau luak
ayah ingin rindu,baba na mau marasai
ayah ingin sakit,baba na mau masingat
ayah ingin sedih,baba na mau masgul
ayah ingin tidur,baba na mau kifit
ayah makan anggur,baba na ka fanga anggur
ayah makan apel,baba na ka fanga apel
ayah makan ayam,baba na ka fanga manuk
ayah makan babi,baba na ka fanga boi
ayah makan buah,baba na ka fanga woi
ayah makan buaya,baba na ka fanga wai
ayah makan daging,baba na ka fanga daging
ayah makan dodol,baba na ka fanga dodol
ayah makan domba,baba na ka fanga domba 
ayah makan gurita,baba na ka fanga kurit
ayah makan ikan,baba na ka fanga ikan
ayah makan kacang,baba na ka fanga kacang
ayah makan kambing,baba na ka fanga bibi
ayah makan kedondong,baba na ka fanga kadondong
ayah makan kelapa,baba na ka fanga niu
ayah makan kue,baba na ka fanga kukis
ayah makan mangga,baba na ka fanga ayai
ayah makan manggis,baba na ka fanga manggustan
ayah makan nanas,baba na ka fanga kainasi
ayah makan nasi ,baba na ka fanga fasa
ayah makan papeda,baba na ka fanga baititik 
ayah makan pisang,baba na ka fanga fudi
ayah makan roti,baba na ka fanga barot
ayah makan sagu,baba na ka fanga suat
ayah makan sapi,baba na ka fanga sapi
ayah makan sayur,baba na ka fanga utan
ayah makan semangka,baba na ka fanga tumin
ayah makan singkong,baba na ka fanga bangala
ayah makan sinole,baba na ka fanga sinole
ayah makan ubi,baba na ka fanga ui
ayah makan ular,baba na ka fanga tekis
ayah mengambil air ,baba na ar
ayah mengambil baju,baba na ladan
ayah mengambil barang,baba na mana sa
ayah mengambil batu,baba na watu
ayah mengambil buah,baba na woi
ayah mengambil buku,baba na buk
ayah mengambil cangkir,baba na moak 
ayah mengambil celana,baba na kada 
ayah mengambil daun,baba na kairu
ayah mengambil garam,baba na sira 
ayah mengambil garpu,baba na forok
ayah mengambil gelas,baba na galas
ayah mengambil gitar,baba na juk
ayah mengambil handuk,baba na handuk
ayah mengambil helm,baba na helem
ayah mengambil kayu,baba na kai
ayah mengambil kertas,baba na kartas
ayah mengambil kiriman ,baba na fingkatu
ayah mengambil kue,baba na kukis
ayah mengambil linggis,baba na suan 
ayah mengambil mangkuk,baba na basi kua
ayah mengambil obat ,baba na mofun
ayah mengambil pakaian ,baba na ladan
ayah mengambil paku,baba na paku
ayah mengambil palu,baba na resan
ayah mengambil panci,baba na panci
ayah mengambil parang,baba na peda
ayah mengambil pena,baba na kalam
ayah mengambil piring ,baba na bingan
ayah mengambil pisau,baba na turit
ayah mengambil sekop,baba na skop
ayah mengambil sendal,baba na sandal
ayah mengambil sendok,baba na sisiru
ayah mengambil sepatu ,baba na sapatu
ayah mengambil sisir,baba na sisir
ayah mengambil surat,baba na surat
ayah mengambil tas,baba na tas
ayah mengambil tisu,baba na tisu
ayah mengambil wajan,baba na kalin
bapak belajar aljabar,baba na balajar aljabar
bapak belajar bahasa,baba na balajar minak 
bapak belajar beradaptasi,baba na balajar nai bisa ku mian nai tompat woun
bapak belajar berbagi,baba na balajar ku figuan
bapak belajar berempati,baba na balajar nai ku fituin mancian woun
bapak belajar berenang,baba na balajar ngangu
bapak belajar berjalan,baba na balajar ku tagi
bapak belajar berkerja,baba na balajar karja
bapak belajar berkomunikasi,baba na balajar sinabi ra 
bapak belajar berlari,baba na balajar ku falaru
bapak belajar bermain ,baba na balajar lenga
bapak belajar berpikir,baba na balajar ku fikir
bapak belajar bersabar,baba na balajar sabar a
bapak belajar bersyukur,baba na balajar syukur 
bapak belajar biologi,baba na balajar ilmu alam
bapak belajar catur ,baba na balajar catur
bapak belajar displin,baba na balajar ku lenga tu waktu ra tei
bapak belajar fisika,baba na balajar fisika
bapak belajar komputer,baba na balajar komputer 
bapak belajar mancing,baba na belajar subelat
bapak belajar matematika ,baba na balajar berhitung 
bapak belajar memaafkan,baba na balajar ta gafin
bapak belajar memanah,baba na balajar fana-fanak a
bapak belajar memasak,baba na balajar firakan
bapak belajar membaca,baba na balajar baca
bapak belajar menari,baba na balajar sula
bapak belajar mengaji,baba na balajar sibur
bapak belajar menggambar,baba na balajar garis-garis 
bapak belajar menghitung,baba na balajar firekin
bapak belajar menjahit,baba na balajar firait
bapak belajar menulis,baba na balajar tulis
bapak belajar menyanyi,baba na balajar manyanyi
bapak belajar olahraga ,baba na balajar olahraga 
bapak belajar shalat,baba na balajar sumbiyang
bapak mengambil air ,baba na ar
bapak mengambil baju,baba na ladan
bapak mengambil barang,baba na mana sa
bapak mengambil batu,baba na watu
bapak mengambil buah,baba na woi
bapak mengambil buku,baba na buk
bapak mengambil cangkir,baba na moak 
bapak mengambil celana,baba na kada 
bapak mengambil daun,baba na kairu
bapak mengambil garam,baba na sira 
bapak mengambil garpu,baba na forok
bapak mengambil gelas,baba na galas
bapak mengambil gitar,baba na juk
bapak mengambil handuk,baba na handuk
bapak mengambil helm,baba na helem
bapak mengambil kayu,baba na kai
bapak mengambil kertas,baba na kartas
bapak mengambil kiriman ,baba na fingkatu
bapak mengambil kue,baba na kukis
bapak mengambil linggis,baba na suan 
bapak mengambil mangkuk,baba na basi kua
bapak mengambil obat ,baba na mofun
bapak mengambil pakaian ,baba na ladan
bapak mengambil paku,baba na paku
bapak mengambil palu,baba na resan
bapak mengambil panci,baba na panci
bapak mengambil parang,baba na peda
bapak mengambil pena,baba na kalam
bapak mengambil piring ,baba na bingan
bapak mengambil pisau,baba na turit
bapak mengambil sekop,baba na skop
bapak mengambil sendal,baba na sandal
bapak mengambil sendok,baba na sisiru
bapak mengambil sepatu ,baba na sapatu
bapak mengambil sisir,baba na sisir
bapak mengambil surat,baba na surat
bapak mengambil tas,baba na tas
bapak mengambil tisu,baba na tisu
bapak mengambil wajan,baba na kalin
belajar bahasa ambon,balajar minak ambon
belajar bahasa arab,balajar minak arab
belajar bahasa belanda,balajar minak walanda
belajar bahasa geser,balajar minak geser
belajar bahasa gorom,balajar minak goran
belajar bahasa indonesia ,balajar minak indonesia
belajar bahasa jepang,balajar minak japang
belajar bahasa mandarin,balajar minak cina
belajar bahasa prancis ,balajar minak parancis
beliau belum bangun,kena lean bot na wotu tei
beliau belum belajar,kena lean bot na balajar tei
beliau belum berhasil,kena lean bot na na roka mana gafin tei
beliau belum makan,kena lean bot na ka tei
beliau belum mandi,kena lean bot na sou tei
beliau belum melihatmu,kena lean bot na kilangar kau tei
beliau belum melihatnya,kena lean bot na kilangar i tei
beliau belum memulai,kena lean bot na mulai tei
beliau belum mencintaimu,kena lean bot na fituin kau tei
beliau belum mencintainya,kena lean bot na fituin i tei
beliau belum mendengarnya,kena lean bot na rongar i tei
beliau belum menemukanmu,kena lean bot na roka kau tei
beliau belum menemukannya,kena lean bot na roka i tei
beliau belum menerimamu,kena lean bot na tarima kau tei
beliau belum menerimanya,kena lean bot na tarima i tei
beliau belum mengajar,kena lean bot na fakuturu tei
beliau belum menikah,kena lean bot na fisa tei
beliau belum menyerah,kena lean bot na na suka tei
beliau belum menyesal,kena lean bot na laminora masingat tei
beliau belum merindukanmu,kena lean bot na marasai kau tei
beliau belum merindukannya,kena lean bot na marasai i tei
beliau belum minum,kena lean bot na kinu tei
beliau belum rela,kena lean bot na iklas tei
beliau belum tahu,kena lean bot na ruk tei
beliau belum terima,kena lean bot na tarima tei
beliau belum tidur,kena lean bot na kifit tei
beliau makan anggur,kena lean na ka fanga anggur
beliau makan apel,kena lean na ka fanga apel
beliau makan ayam,kena lean na ka fanga manuk
beliau makan babi,kena lean na ka fanga boi
beliau makan buah,kena lean na ka fanga woi
beliau makan buaya,kena lean na ka fanga wai
beliau makan daging,kena lean na ka fanga daging
beliau makan dodol,kena lean na ka fanga dodol
beliau makan domba,kena lean na ka fanga domba 
beliau makan gurita,kena lean na ka fanga kurit
beliau makan ikan,kena lean na ka fanga ikan
beliau makan kacang,kena lean na ka fanga kacang
beliau makan kambing,kena lean na ka fanga bibi
beliau makan kedondong,kena lean na ka fanga kadondong
beliau makan kelapa,kena lean na ka fanga niu
beliau makan kue,kena lean na ka fanga kukis
beliau makan mangga,kena lean na ka fanga ayai
beliau makan manggis,kena lean na ka fanga manggustan
beliau makan nanas,kena lean na ka fanga kainasi
beliau makan nasi ,kena lean na ka fanga fasa
beliau makan papeda,kena lean na ka fanga baititik 
beliau makan pisang,kena lean na ka fanga fudi
beliau makan roti,kena lean na ka fanga barot
beliau makan sagu,kena lean na ka fanga suat
beliau makan sapi,kena lean na ka fanga sapi
beliau makan sayur,kena lean na ka fanga utan
beliau makan semangka,kena lean na ka fanga tumin
beliau makan singkong,kena lean na ka fanga bangala
beliau makan sinole,kena lean na ka fanga sinole
beliau makan ubi,kena lean na ka fanga ui
beliau makan ular,kena lean na ka fanga tekis
beliau mengambil air ,kena lean na ar
beliau mengambil baju,kena lean na ladan
beliau mengambil barang,kena lean na mana sa
beliau mengambil batu,kena lean na watu
beliau mengambil buah,kena lean na woi
beliau mengambil buku,kena lean na buk
beliau mengambil cangkir,kena lean na moak 
beliau mengambil celana,kena lean na kada 
beliau mengambil daun,kena lean na kairu
beliau mengambil garam,kena lean na sira 
beliau mengambil garpu,kena lean na forok
beliau mengambil gelas,kena lean na galas
beliau mengambil gitar,kena lean na juk
beliau mengambil handuk,kena lean na handuk
beliau mengambil helm,kena lean na helem
beliau mengambil kayu,kena lean na kai
beliau mengambil kertas,kena lean na kartas
beliau mengambil kiriman ,kena lean na fingkatu
beliau mengambil kue,kena lean na kukis
beliau mengambil linggis,kena lean na suan 
beliau mengambil mangkuk,kena lean na basi kua
beliau mengambil obat ,kena lean na mofun
beliau mengambil pakaian ,kena lean na ladan
beliau mengambil paku,kena lean na paku
beliau mengambil palu,kena lean na resan
beliau mengambil panci,kena lean na panci
beliau mengambil parang,kena lean na peda
beliau mengambil pena,kena lean na kalam
beliau mengambil piring ,kena lean na bingan
beliau mengambil pisau,kena lean na turit
beliau mengambil sekop,kena lean na skop
beliau mengambil sendal,kena lean na sandal
beliau mengambil sendok,kena lean na sisiru
beliau mengambil sepatu ,kena lean na sapatu
beliau mengambil sisir,kena lean na sisir
beliau mengambil surat,kena lean na surat
beliau mengambil tas,kena lean na tas
beliau mengambil tisu,kena lean na tisu
beliau mengambil wajan,kena lean na kalin
bibi gemar belajar,wowa na suka balajar
bibi gemar berenang,wowa na suka ngangu
bibi gemar bermain,wowa na suka lenga
bibi gemar makan,wowa na suka fanga
bibi gemar mandi,wowa na suka sou
bibi gemar menyanyi,wowa na suka manyanyi
bibi gemar minum,wowa na suka minu
bibi gemar pergi,wowa na suka tagi
bibi makan anggur,wowa na ka fanga anggur
bibi makan apel,wowa na ka fanga apel
bibi makan ayam,wowa na ka fanga manuk
bibi makan babi,wowa na ka fanga boi
bibi makan buah,wowa na ka fanga woi
bibi makan buaya,wowa na ka fanga wai
bibi makan daging,wowa na ka fanga daging
bibi makan dodol,wowa na ka fanga dodol
bibi makan domba,wowa na ka fanga domba 
bibi makan gurita,wowa na ka fanga kurit
bibi makan ikan,wowa na ka fanga ikan
bibi makan kacang,wowa na ka fanga kacang
bibi makan kambing,wowa na ka fanga bibi
bibi makan kedondong,wowa na ka fanga kadondong
bibi makan kelapa,wowa na ka fanga niu
bibi makan kue,wowa na ka fanga kukis
bibi makan mangga,wowa na ka fanga ayai
bibi makan manggis,wowa na ka fanga manggustan
bibi makan nanas,wowa na ka fanga kainasi
bibi makan nasi ,wowa na ka fanga fasa
bibi makan papeda,wowa na ka fanga baititik 
bibi makan pisang,wowa na ka fanga fudi
bibi makan roti,wowa na ka fanga barot
bibi makan sagu,wowa na ka fanga suat
bibi makan sapi,wowa na ka fanga sapi
bibi makan sayur,wowa na ka fanga utan
bibi makan semangka,wowa na ka fanga tumin
bibi makan singkong,wowa na ka fanga bangala
bibi makan sinole,wowa na ka fanga sinole
bibi makan ubi,wowa na ka fanga ui
bibi makan ular,wowa na ka fanga tekis
bibi mengambil air ,wowa na ar
bibi mengambil baju,wowa na ladan
bibi mengambil barang,wowa na mana sa
bibi mengambil batu,wowa na watu
bibi mengambil buah,wowa na woi
bibi mengambil buku,wowa na buk
bibi mengambil cangkir,wowa na moak 
bibi mengambil celana,wowa na kada 
bibi mengambil daun,wowa na kairu
bibi mengambil garam,wowa na sira 
bibi mengambil garpu,wowa na forok
bibi mengambil gelas,wowa na galas
bibi mengambil gitar,wowa na juk
bibi mengambil handuk,wowa na handuk
bibi mengambil helm,wowa na helem
bibi mengambil kayu,wowa na kai
bibi mengambil kertas,wowa na kartas
bibi mengambil kiriman ,wowa na fingkatu
bibi mengambil kue,wowa na kukis
bibi mengambil linggis,wowa na suan 
bibi mengambil mangkuk,wowa na basi kua
bibi mengambil obat ,wowa na mofun
bibi mengambil pakaian ,wowa na ladan
bibi mengambil paku,wowa na paku
bibi mengambil palu,wowa na resan
bibi mengambil panci,wowa na panci
bibi mengambil parang,wowa na peda
bibi mengambil pena,wowa na kalam
bibi mengambil piring ,wowa na bingan
bibi mengambil pisau,wowa na turit
bibi mengambil sekop,wowa na skop
bibi mengambil sendal,wowa na sandal
bibi mengambil sendok,wowa na sisiru
bibi mengambil sepatu ,wowa na sapatu
bibi mengambil sisir,wowa na sisir
bibi mengambil surat,wowa na surat
bibi mengambil tas,wowa na tas
bibi mengambil tisu,wowa na tisu
bibi mengambil wajan,wowa na kalin
dia belajar aljabar,i na balajar aljabar
dia belajar bahasa,i na balajar minak 
dia belajar beradaptasi,i na balajar nai bisa ku mian nai tompat woun
dia belajar berbagi,i na balajar ku figuan
dia belajar berempati,i na balajar nai ku fituin mancian woun
dia belajar berenang,i na balajar ngangu
dia belajar berjalan,i na balajar ku tagi
dia belajar berkerja,i na balajar karja
dia belajar berkomunikasi,i na balajar sinabi ra 
dia belajar berlari,i na balajar ku falaru
dia belajar bermain ,i na balajar lenga
dia belajar berpikir,i na balajar ku fikir
dia belajar bersabar,i na balajar sabar a
dia belajar bersyukur,i na balajar syukur 
dia belajar biologi,i na balajar ilmu alam
dia belajar catur ,i na balajar catur
dia belajar displin,i na balajar ku lenga tu waktu ra tei
dia belajar fisika,i na balajar fisika
dia belajar komputer,i na balajar komputer 
dia belajar mancing,i na belajar subelat
dia belajar matematika ,i na balajar berhitung 
dia belajar memaafkan,i na balajar ta gafin
dia belajar memanah,i na balajar fana-fanak a
dia belajar memasak,i na balajar firakan
dia belajar membaca,i na balajar baca
dia belajar menari,i na balajar sula
dia belajar mengaji,i na balajar sibur
dia belajar menggambar,i na balajar garis-garis 
dia belajar menghitung,i na balajar firekin
dia belajar menjahit,i na balajar firait
dia belajar menulis,i na balajar tulis
dia belajar menyanyi,i na balajar manyanyi
dia belajar olahraga ,i na balajar olahraga 
dia belajar shalat,i na balajar sumbiyang
dia belum bangun,i bot na wotu tei
dia belum belajar,i bot na balajar tei
dia belum berhasil,i bot na na roka mana gafin tei
dia belum makan,i bot na ka tei
dia belum mandi,i bot na sou tei
dia belum melihatmu,i bot na kilangar kau tei
dia belum melihatnya,i bot na kilangar i tei
dia belum memulai,i bot na mulai tei
dia belum mencintaimu,i bot na fituin kau tei
dia belum mencintainya,i bot na fituin i tei
dia belum mendengarnya,i bot na rongar i tei
dia belum menemukanmu,i bot na roka kau tei
dia belum menemukannya,i bot na roka i tei
dia belum menerimamu,i bot na tarima kau tei
dia belum menerimanya,i bot na tarima i tei
dia belum mengajar,i bot na fakuturu tei
dia belum menikah,i bot na fisa tei
dia belum menyerah,i bot na na suka tei
dia belum menyesal,i bot na laminora masingat tei
dia belum merindukanmu,i bot na marasai kau tei
dia belum merindukannya,i bot na marasai i tei
dia belum minum,i bot na kinu tei
dia belum rela,i bot na iklas tei
dia belum tahu,i bot na ruk tei
dia belum terima,i bot na tarima tei
dia belum tidur,i bot na kifit tei
dia gemar belajar,i na suka balajar
dia gemar berenang,i na suka ngangu
dia gemar bermain,i na suka lenga
dia gemar makan,i na suka fanga
dia gemar mandi,i na suka sou
dia gemar menyanyi,i na suka manyanyi
dia gemar minum,i na suka minu
dia gemar pergi,i na suka tagi
dia ingin belajar,i na mau balajar
dia ingin berlari,i na mau falaru
dia ingin berteriak,i na mau gurait
dia ingin cinta,i na mau fituin
dia ingin hidup,i na mau na liu
dia ingin kecewa,i na mau laminoa na geit
dia ingin lari,i na mau falaru
dia ingin makan,i na mau fanga
dia ingin mandi,i na mau sou
dia ingin marah,i na mau sia
dia ingin mati,i na mau mata
dia ingin melihat,i na mau kilangar
dia ingin membaca,i na mau baca
dia ingin menangis,i na mau tangis
dia ingin mendengar,i na mau rongar
dia ingin mengajar,i na mau fakturu
dia ingin menulis,i na mau tulis
dia ingin minum,i na mau minu
dia ingin muntah,i na mau luak
dia ingin rindu,i na mau marasai
dia ingin sakit,i na mau masingat
dia ingin sedih,i na mau masgul
dia ingin tidur,i na mau kifit
dia makan anggur,i na ka fanga anggur
dia makan apel,i na ka fanga apel
dia makan ayam,i na ka fanga manuk
dia makan babi,i na ka fanga boi
dia makan buah,i na ka fanga woi
dia makan buaya,i na ka fanga wai
dia makan daging,i na ka fanga daging
dia makan dodol,i na ka fanga dodol
dia makan domba,i na ka fanga domba 
dia makan gurita,i na ka fanga kurit
dia makan ikan,i na ka fanga ikan
dia makan kacang,i na ka fanga kacang
dia makan kambing,i na ka fanga bibi
dia makan kedondong,i na ka fanga kadondong
dia makan kelapa,i na ka fanga niu
dia makan kue,i na ka fanga kukis
dia makan mangga,i na ka fanga ayai
dia makan manggis,i na ka fanga manggustan
dia makan nanas,i na ka fanga kainasi
dia makan nasi ,i na ka fanga fasa
dia makan papeda,i na ka fanga baititik 
dia makan pisang,i na ka fanga fudi
dia makan roti,i na ka fanga barot
dia makan sagu,i na ka fanga suat
dia makan sapi,i na ka fanga sapi
dia makan sayur,i na ka fanga utan
dia makan semangka,i na ka fanga tumin
dia makan singkong,i na ka fanga bangala
dia makan sinole,i na ka fanga sinole
dia makan ubi,i na ka fanga ui
dia makan ular,i na ka fanga tekis
dia mengambil air ,i na ar
dia mengambil baju,i na ladan
dia mengambil barang,i na mana sa
dia mengambil batu,i na watu
dia mengambil buah,i na woi
dia mengambil buku,i na buk
dia mengambil cangkir,i na moak 
dia mengambil celana,i na kada 
dia mengambil daun,i na kairu
dia mengambil garam,i na sira 
dia mengambil garpu,i na forok
dia mengambil gelas,i na galas
dia mengambil gitar,i na juk
dia mengambil handuk,i na handuk
dia mengambil helm,i na helem
dia mengambil kayu,i na kai
dia mengambil kertas,i na kartas
dia mengambil kiriman ,i na fingkatu
dia mengambil kue,i na kukis
dia mengambil linggis,i na suan 
dia mengambil mangkuk,i na basi kua
dia mengambil obat ,i na mofun
dia mengambil pakaian ,i na ladan
dia mengambil paku,i na paku
dia mengambil palu,i na resan
dia mengambil panci,i na panci
dia mengambil parang,i na peda
dia mengambil pena,i na kalam
dia mengambil piring ,i na bingan
dia mengambil pisau,i na turit
dia mengambil sekop,i na skop
dia mengambil sendal,i na sandal
dia mengambil sendok,i na sisiru
dia mengambil sepatu ,i na sapatu
dia mengambil sisir,i na sisir
dia mengambil surat,i na surat
dia mengambil tas,i na tas
dia mengambil tisu,i na tisu
dia mengambil wajan,i na kalin
ia gemar belajar,i na suka balajar
ia gemar berenang,i na suka ngangu
ia gemar bermain,i na suka lenga
ia gemar makan,i na suka fanga
ia gemar mandi,i na suka sou
ia gemar menyanyi,i na suka manyanyi
ia gemar minum,i na suka minu
ia gemar pergi,i na suka tagi
ia ingin belajar,i na mau balajar
ia ingin berlari,i na mau falaru
ia ingin berteriak,i na mau gurait
ia ingin cinta,i na mau fituin
ia ingin hidup,i na mau na liu
ia ingin kecewa,i na mau laminoa na geit
ia ingin lari,i na mau falaru
ia ingin makan,i na mau fanga
ia ingin mandi,i na mau sou
ia ingin marah,i na mau sia
ia ingin mati,i na mau mata
ia ingin melihat,i na mau kilangar
ia ingin membaca,i na mau baca
ia ingin menangis,i na mau tangis
ia ingin mendengar,i na mau rongar
ia ingin mengajar,i na mau fakturu
ia ingin menulis,i na mau tulis
ia ingin minum,i na mau minu
ia ingin muntah,i na mau luak
ia ingin rindu,i na mau marasai
ia ingin sakit,i na mau masingat
ia ingin sedih,i na mau masgul
ia ingin tidur,i na mau kifit
ia makan anggur,i na ka fanga anggur
ia makan apel,i na ka fanga apel
ia makan ayam,i na ka fanga manuk
ia makan babi,i na ka fanga boi
ia makan buah,i na ka fanga woi
ia makan buaya,i na ka fanga wai
ia makan daging,i na ka fanga daging
ia makan dodol,i na ka fanga dodol
ia makan domba,i na ka fanga domba 
ia makan gurita,i na ka fanga kurit
ia makan ikan,i na ka fanga ikan
ia makan kacang,i na ka fanga kacang
ia makan kambing,i na ka fanga bibi
ia makan kedondong,i na ka fanga kadondong
ia makan kelapa,i na ka fanga niu
ia makan kue,i na ka fanga kukis
ia makan mangga,i na ka fanga ayai
ia makan manggis,i na ka fanga manggustan
ia makan nanas,i na ka fanga kainasi
ia makan nasi ,i na ka fanga fasa
ia makan papeda,i na ka fanga baititik 
ia makan pisang,i na ka fanga fudi
ia makan roti,i na ka fanga barot
ia makan sagu,i na ka fanga suat
ia makan sapi,i na ka fanga sapi
ia makan sayur,i na ka fanga utan
ia makan semangka,i na ka fanga tumin
ia makan singkong,i na ka fanga bangala
ia makan sinole,i na ka fanga sinole
ia makan ubi,i na ka fanga ui
ia makan ular,i na ka fanga tekis
ia mengambil air ,i na ar
ia mengambil baju,i na ladan
ia mengambil barang,i na mana sa
ia mengambil batu,i na watu
ia mengambil buah,i na woi
ia mengambil buku,i na buk
ia mengambil cangkir,i na moak 
ia mengambil celana,i na kada 
ia mengambil daun,i na kairu
ia mengambil garam,i na sira 
ia mengambil garpu,i na forok
ia mengambil gelas,i na galas
ia mengambil gitar,i na juk
ia mengambil handuk,i na handuk
ia mengambil helm,i na helem
ia mengambil kayu,i na kai
ia mengambil kertas,i na kartas
ia mengambil kiriman ,i na fingkatu
ia mengambil kue,i na kukis
ia mengambil linggis,i na suan 
ia mengambil mangkuk,i na basi kua
ia mengambil obat ,i na mofun
ia mengambil pakaian ,i na ladan
ia mengambil paku,i na paku
ia mengambil palu,i na resan
ia mengambil panci,i na panci
ia mengambil parang,i na peda
ia mengambil pena,i na kalam
ia mengambil piring ,i na bingan
ia mengambil pisau,i na turit
ia mengambil sekop,i na skop
ia mengambil sendal,i na sandal
ia mengambil sendok,i na sisiru
ia mengambil sepatu ,i na sapatu
ia mengambil sisir,i na sisir
ia mengambil surat,i na surat
